Zip Code,Territory,Color
84201,Territory A,Red
84244,Territory A,Red
84302,Territory A,Red
84304,Territory A,Red
84306,Territory A,Red
84308,Territory A,Red
84309,Territory A,Red
84310,Territory A,Red
84311,Territory A,Red
84312,Territory A,Red
84314,Territory A,Red
84315,Territory A,Red
84317,Territory A,Red
84318,Territory A,Red
84319,Territory A,Red
84320,Territory A,Red
84321,Territory A,Red
84322,Territory A,Red
84324,Territory A,Red
84325,Territory A,Red
84328,Territory A,Red
84332,Territory A,Red
84333,Territory A,Red
84335,Territory A,Red
84337,Territory A,Red
84338,Territory A,Red
84339,Territory A,Red
84340,Territory A,Red
84341,Territory A,Red
84401,Territory A,Red
84403,Territory A,Red
84404,Territory A,Red
84405,Territory A,Red
84407,Territory A,Red
84408,Territory A,Red
84414,Territory A,Red
84601,Territory A,Red
84602,Territory A,Red
84604,Territory A,Red
84606,Territory A,Red
84651,Territory A,Red
84653,Territory A,Red
84655,Territory A,Red
84660,Territory A,Red
84663,Territory A,Red
84664,Territory A,Red
85003,Territory A,Red
85004,Territory A,Red
85006,Territory A,Red
85007,Territory A,Red
85008,Territory A,Red
85009,Territory A,Red
85012,Territory A,Red
85013,Territory A,Red
85014,Territory A,Red
85015,Territory A,Red
85016,Territory A,Red
85017,Territory A,Red
85018,Territory A,Red
85019,Territory A,Red
85020,Territory A,Red
85021,Territory A,Red
85022,Territory A,Red
85023,Territory A,Red
85024,Territory A,Red
85026,Territory A,Red
85027,Territory A,Red
85028,Territory A,Red
85029,Territory A,Red
85031,Territory A,Red
85032,Territory A,Red
85033,Territory A,Red
85034,Territory A,Red
85035,Territory A,Red
85037,Territory A,Red
85039,Territory A,Red
85040,Territory A,Red
85041,Territory A,Red
85042,Territory A,Red
85043,Territory A,Red
85044,Territory A,Red
85045,Territory A,Red
85048,Territory A,Red
85050,Territory A,Red
85051,Territory A,Red
85053,Territory A,Red
85054,Territory A,Red
85065,Territory A,Red
85073,Territory A,Red
85083,Territory A,Red
85085,Territory A,Red
85086,Territory A,Red
85087,Territory A,Red
85119,Territory A,Red
85120,Territory A,Red
85122,Territory A,Red
85138,Territory A,Red
85139,Territory A,Red
85140,Territory A,Red
85142,Territory A,Red
85194,Territory A,Red
85201,Territory A,Red
85202,Territory A,Red
85203,Territory A,Red
85204,Territory A,Red
85205,Territory A,Red
85206,Territory A,Red
85207,Territory A,Red
85208,Territory A,Red
85209,Territory A,Red
85210,Territory A,Red
85212,Territory A,Red
85213,Territory A,Red
85215,Territory A,Red
85224,Territory A,Red
85225,Territory A,Red
85226,Territory A,Red
85233,Territory A,Red
85234,Territory A,Red
85236,Territory A,Red
85244,Territory A,Red
85248,Territory A,Red
85249,Territory A,Red
85250,Territory A,Red
85251,Territory A,Red
85253,Territory A,Red
85254,Territory A,Red
85255,Territory A,Red
85256,Territory A,Red
85257,Territory A,Red
85258,Territory A,Red
85259,Territory A,Red
85260,Territory A,Red
85262,Territory A,Red
85266,Territory A,Red
85268,Territory A,Red
85281,Territory A,Red
85282,Territory A,Red
85283,Territory A,Red
85284,Territory A,Red
85286,Territory A,Red
85287,Territory A,Red
85288,Territory A,Red
85295,Territory A,Red
85296,Territory A,Red
85297,Territory A,Red
85298,Territory A,Red
85301,Territory A,Red
85302,Territory A,Red
85303,Territory A,Red
85304,Territory A,Red
85305,Territory A,Red
85306,Territory A,Red
85307,Territory A,Red
85308,Territory A,Red
85309,Territory A,Red
85310,Territory A,Red
85323,Territory A,Red
85326,Territory A,Red
85331,Territory A,Red
85335,Territory A,Red
85338,Territory A,Red
85339,Territory A,Red
85340,Territory A,Red
85342,Territory A,Red
85344,Territory A,Red
85345,Territory A,Red
85351,Territory A,Red
85353,Territory A,Red
85355,Territory A,Red
85361,Territory A,Red
85363,Territory A,Red
85364,Territory A,Red
85365,Territory A,Red
85366,Territory A,Red
85367,Territory A,Red
85369,Territory A,Red
85373,Territory A,Red
85374,Territory A,Red
85375,Territory A,Red
85377,Territory A,Red
85378,Territory A,Red
85379,Territory A,Red
85381,Territory A,Red
85382,Territory A,Red
85383,Territory A,Red
85387,Territory A,Red
85388,Territory A,Red
85390,Territory A,Red
85392,Territory A,Red
85395,Territory A,Red
85396,Territory A,Red
85652,Territory A,Red
85653,Territory A,Red
85658,Territory A,Red
85701,Territory A,Red
85704,Territory A,Red
85705,Territory A,Red
85706,Territory A,Red
85707,Territory A,Red
85708,Territory A,Red
85709,Territory A,Red
85710,Territory A,Red
85711,Territory A,Red
85712,Territory A,Red
85713,Territory A,Red
85714,Territory A,Red
85715,Territory A,Red
85716,Territory A,Red
85718,Territory A,Red
85719,Territory A,Red
85721,Territory A,Red
85723,Territory A,Red
85724,Territory A,Red
85726,Territory A,Red
85730,Territory A,Red
85737,Territory A,Red
85739,Territory A,Red
85741,Territory A,Red
85742,Territory A,Red
85743,Territory A,Red
85744,Territory A,Red
85745,Territory A,Red
85746,Territory A,Red
85747,Territory A,Red
85748,Territory A,Red
85749,Territory A,Red
85750,Territory A,Red
85755,Territory A,Red
85756,Territory A,Red
85757,Territory A,Red
86001,Territory A,Red
86004,Territory A,Red
86011,Territory A,Red
86301,Territory A,Red
86303,Territory A,Red
86305,Territory A,Red
86314,Territory A,Red
86322,Territory A,Red
86325,Territory A,Red
86326,Territory A,Red
86335,Territory A,Red
86336,Territory A,Red
86351,Territory A,Red
86401,Territory A,Red
86403,Territory A,Red
86404,Territory A,Red
86406,Territory A,Red
86409,Territory A,Red
86426,Territory A,Red
86429,Territory A,Red
86436,Territory A,Red
86440,Territory A,Red
86442,Territory A,Red
89002,Territory A,Red
89004,Territory A,Red
89005,Territory A,Red
89011,Territory A,Red
89012,Territory A,Red
89014,Territory A,Red
89015,Territory A,Red
89019,Territory A,Red
89021,Territory A,Red
89024,Territory A,Red
89027,Territory A,Red
89029,Territory A,Red
89030,Territory A,Red
89031,Territory A,Red
89032,Territory A,Red
89033,Territory A,Red
89040,Territory A,Red
89041,Territory A,Red
89044,Territory A,Red
89046,Territory A,Red
89048,Territory A,Red
89052,Territory A,Red
89060,Territory A,Red
89061,Territory A,Red
89074,Territory A,Red
89081,Territory A,Red
89084,Territory A,Red
89085,Territory A,Red
89086,Territory A,Red
89087,Territory A,Red
89101,Territory A,Red
89102,Territory A,Red
89103,Territory A,Red
89104,Territory A,Red
89105,Territory A,Red
89106,Territory A,Red
89107,Territory A,Red
89108,Territory A,Red
89109,Territory A,Red
89110,Territory A,Red
89113,Territory A,Red
89115,Territory A,Red
89117,Territory A,Red
89118,Territory A,Red
89119,Territory A,Red
89120,Territory A,Red
89121,Territory A,Red
89122,Territory A,Red
89123,Territory A,Red
89124,Territory A,Red
89125,Territory A,Red
89126,Territory A,Red
89127,Territory A,Red
89128,Territory A,Red
89129,Territory A,Red
89130,Territory A,Red
89131,Territory A,Red
89132,Territory A,Red
89133,Territory A,Red
89134,Territory A,Red
89135,Territory A,Red
89136,Territory A,Red
89137,Territory A,Red
89138,Territory A,Red
89139,Territory A,Red
89141,Territory A,Red
89142,Territory A,Red
89143,Territory A,Red
89144,Territory A,Red
89145,Territory A,Red
89146,Territory A,Red
89147,Territory A,Red
89148,Territory A,Red
89149,Territory A,Red
89150,Territory A,Red
89151,Territory A,Red
89152,Territory A,Red
89153,Territory A,Red
89154,Territory A,Red
89155,Territory A,Red
89156,Territory A,Red
89157,Territory A,Red
89158,Territory A,Red
89159,Territory A,Red
89160,Territory A,Red
89161,Territory A,Red
89162,Territory A,Red
89163,Territory A,Red
89164,Territory A,Red
89165,Territory A,Red
89166,Territory A,Red
89169,Territory A,Red
89170,Territory A,Red
89177,Territory A,Red
89178,Territory A,Red
89179,Territory A,Red
89180,Territory A,Red
89183,Territory A,Red
89185,Territory A,Red
89191,Territory A,Red
89193,Territory A,Red
89195,Territory A,Red
89199,Territory A,Red
89402,Territory A,Red
89406,Territory A,Red
89408,Territory A,Red
89410,Territory A,Red
89411,Territory A,Red
89413,Territory A,Red
89423,Territory A,Red
89431,Territory A,Red
89432,Territory A,Red
89433,Territory A,Red
89434,Territory A,Red
89435,Territory A,Red
89436,Territory A,Red
89437,Territory A,Red
89439,Territory A,Red
89440,Territory A,Red
89441,Territory A,Red
89448,Territory A,Red
89449,Territory A,Red
89450,Territory A,Red
89451,Territory A,Red
89452,Territory A,Red
89460,Territory A,Red
89501,Territory A,Red
89502,Territory A,Red
89503,Territory A,Red
89504,Territory A,Red
89505,Territory A,Red
89506,Territory A,Red
89507,Territory A,Red
89508,Territory A,Red
89509,Territory A,Red
89510,Territory A,Red
89511,Territory A,Red
89512,Territory A,Red
89513,Territory A,Red
89515,Territory A,Red
89519,Territory A,Red
89520,Territory A,Red
89521,Territory A,Red
89523,Territory A,Red
89533,Territory A,Red
89557,Territory A,Red
89570,Territory A,Red
89595,Territory A,Red
89599,Territory A,Red
89701,Territory A,Red
89702,Territory A,Red
89703,Territory A,Red
89704,Territory A,Red
89705,Territory A,Red
89706,Territory A,Red
89711,Territory A,Red
89712,Territory A,Red
89713,Territory A,Red
89714,Territory A,Red
89721,Territory A,Red
90001,Territory A,Red
90002,Territory A,Red
90003,Territory A,Red
90004,Territory A,Red
90005,Territory A,Red
90006,Territory A,Red
90007,Territory A,Red
90008,Territory A,Red
90009,Territory A,Red
90010,Territory A,Red
90011,Territory A,Red
90012,Territory A,Red
90013,Territory A,Red
90014,Territory A,Red
90015,Territory A,Red
90016,Territory A,Red
90017,Territory A,Red
90018,Territory A,Red
90019,Territory A,Red
90020,Territory A,Red
90021,Territory A,Red
90022,Territory A,Red
90023,Territory A,Red
90024,Territory A,Red
90025,Territory A,Red
90026,Territory A,Red
90027,Territory A,Red
90028,Territory A,Red
90029,Territory A,Red
90030,Territory A,Red
90031,Territory A,Red
90032,Territory A,Red
90033,Territory A,Red
90034,Territory A,Red
90035,Territory A,Red
90036,Territory A,Red
90037,Territory A,Red
90038,Territory A,Red
90039,Territory A,Red
90040,Territory A,Red
90041,Territory A,Red
90042,Territory A,Red
90043,Territory A,Red
90044,Territory A,Red
90045,Territory A,Red
90046,Territory A,Red
90047,Territory A,Red
90048,Territory A,Red
90049,Territory A,Red
90050,Territory A,Red
90051,Territory A,Red
90052,Territory A,Red
90053,Territory A,Red
90054,Territory A,Red
90055,Territory A,Red
90056,Territory A,Red
90057,Territory A,Red
90058,Territory A,Red
90059,Territory A,Red
90060,Territory A,Red
90061,Territory A,Red
90062,Territory A,Red
90063,Territory A,Red
90064,Territory A,Red
90065,Territory A,Red
90066,Territory A,Red
90067,Territory A,Red
90068,Territory A,Red
90069,Territory A,Red
90070,Territory A,Red
90071,Territory A,Red
90072,Territory A,Red
90073,Territory A,Red
90074,Territory A,Red
90075,Territory A,Red
90076,Territory A,Red
90077,Territory A,Red
90078,Territory A,Red
90079,Territory A,Red
90080,Territory A,Red
90082,Territory A,Red
90083,Territory A,Red
90084,Territory A,Red
90086,Territory A,Red
90087,Territory A,Red
90088,Territory A,Red
90089,Territory A,Red
90091,Territory A,Red
90093,Territory A,Red
90094,Territory A,Red
